first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ppg_actual,value_actual,player
Keleki,Latu,TE,,14,12/7/25,Thu-Mon,BUF,CIN,-5.5,53.5,29.5,2500,32,1.4,1.4,1.4,0.5,0.19,,,Keleki Latu
Mason,Kinsey,WR,,14,12/7/25,Thu-Mon,TEN,CLE,4.5,33.5,14.5,3000,4,0.7,0.5,,0.5,0.18,,,Mason Kinsey
Raheim,Sanders,RB,,14,12/7/25,Thu-Mon,CLE,TEN,-4.5,33.5,19,4000,28,6.3,6.3,6.3,0.5,0.12,,,Raheim Sanders
Malik,Heath,WR,,14,12/7/25,Thu-Mon,GB,CHI,-6.5,44.5,25.5,3000,25,2.9,3,2.9,0.5,0.16,,,Malik Heath
Laquon,Treadwell,WR,,14,12/7/25,Thu-Mon,IND,JAX,-1.5,46.5,24,3000,20,0.5,0.6,,0.5,0.18,,,Laquon Treadwell
C.J.,Ham,RB,,14,12/7/25,Thu-Mon,MIN,WAS,-1.5,42.5,22,4000,29,1.7,0.9,1.5,0.5,0.13,,,C.J. Ham
Ben,Sinnott,TE,,14,12/7/25,Thu-Mon,WAS,MIN,1.5,42.5,20.5,2500,18,3.1,1.7,4.1,0.5,0.18,,,Ben Sinnott
Dee,Eskridge,WR,,14,12/7/25,Thu-Mon,MIA,NYJ,-2.5,41.5,22,3000,11,1.8,1.3,1.8,0.5,0.18,,,Dee Eskridge
Josiah,Deguara,TE,,14,12/7/25,Thu-Mon,ARI,LAR,8.5,47.5,19.5,2500,17,0.6,0.3,1.6,0.4,0.16,,,Josiah Deguara
Patrick,Ricard,RB,,14,12/7/25,Thu-Mon,BAL,PIT,-5.5,42.5,24,4000,11,0.5,0.4,0.3,0.4,0.1,,,Patrick Ricard
Ke'Shawn,Williams,WR,,14,12/7/25,Thu-Mon,PIT,BAL,5.5,42.5,18.5,3000,24,-1,-1,-1,0.4,0.13,,,Ke'Shawn Williams
Zavier,Scott,RB,,14,12/7/25,Thu-Mon,MIN,WAS,-1.5,42.5,22,4300,29,5.3,5.4,5.4,0.4,0.08,,,Zavier Scott
Colson,Yankoff,TE,,14,12/7/25,Thu-Mon,WAS,MIN,1.5,42.5,20.5,2500,18,0.3,0.2,1.4,0.4,0.15,,,Colson Yankoff
Jack,Stoll,TE,,14,12/7/25,Thu-Mon,NO,TB,8.5,41.5,16.5,2500,15,2.7,1.4,2.7,0.4,0.15,,,Jack Stoll
Ben,Skowronek,WR,Q,14,12/7/25,Thu-Mon,PIT,BAL,5.5,42.5,18.5,3000,24,2.9,2.2,2.9,0.3,0.12,,,Ben Skowronek
LaJohntay,Wester,WR,,14,12/7/25,Thu-Mon,BAL,PIT,-5.5,42.5,24,3000,31,-1,-1,-1,0.3,0.09,,,LaJohntay Wester
Tahj,Brooks,RB,Q,14,12/7/25,Thu-Mon,CIN,BUF,5.5,53.5,24,4000,30,0.7,0.7,0.7,0.3,0.07,,,Tahj Brooks
Julius,Chestnut,RB,,14,12/7/25,Thu-Mon,TEN,CLE,4.5,33.5,14.5,4000,8,0.7,0.7,0.7,0.3,0.09,,,Julius Chestnut
Blake,Whiteheart,TE,,14,12/7/25,Thu-Mon,CLE,TEN,-4.5,33.5,19,2500,10,1.1,0.9,0.8,0.2,0.08,,,Blake Whiteheart
David,Martin-Robinson,TE,,14,12/7/25,Thu-Mon,TEN,CLE,4.5,33.5,14.5,2500,14,1.7,1.5,7.1,0.2,0.09,,,David Martin-Robinson
Kalel,Mullings,RB,,14,12/7/25,Thu-Mon,TEN,CLE,4.5,33.5,14.5,4000,8,,,,0.2,0.05,,,Kalel Mullings
Dylan,Laube,RB,,14,12/7/25,Thu-Mon,LV,DEN,7.5,40.5,16.5,4000,3,1.1,0.5,1.8,0.2,0.05,,,Dylan Laube
Devin,Culp,TE,,14,12/7/25,Thu-Mon,TB,NO,-8.5,41.5,25,2500,16,2.8,2.8,,0.2,0.09,,,Devin Culp
Myles,Price,WR,,14,12/7/25,Thu-Mon,MIN,WAS,-1.5,42.5,22,3000,30,-1,-1,-1,0.2,0.07,,,Myles Price
Kene,Nwangwu,RB,,14,12/7/25,Thu-Mon,NYJ,MIA,2.5,41.5,19.5,4000,20,0,0.1,,0.2,0.05,,,Kene Nwangwu
Stone,Smartt,TE,,14,12/7/25,Thu-Mon,NYJ,MIA,2.5,41.5,19.5,2500,29,4,3,,0.2,0.09,,,Stone Smartt
Ryan,Miller,WR,,14,12/7/25,Thu-Mon,TB,NO,-8.5,41.5,25,3000,13,2.3,2.7,2.9,0.2,0.07,,,Ryan Miller
Audric,Estime,RB,,14,12/7/25,Thu-Mon,NO,TB,8.5,41.5,16.5,4100,24,5.8,4.5,,0.2,0.06,,,Audric Estime
Erick,All Jr.,TE,O,14,12/7/25,Thu-Mon,CIN,BUF,5.5,53.5,24,2500,1,3.1,4,,0,0,,,Erick All Jr.
