first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,proj_points,value,ownership_projection,player
Chris,Manhertz,TE,,18,2026-01-04,Sat-Sun,NYG,DAL,3.5,51.5,24.0,2500,14,1.3,1.4,1.7,0.3,0.1,,Chris Manhertz
Jordan,Watkins,WR,,18,2026-01-03,Sat-Sun,SF,SEA,1.5,47.5,23.0,3000,11,2.3,2.3,2.3,0.3,0.09,,Jordan Watkins
Teagan,Quitoriano,TE,,18,2026-01-04,Sat-Sun,ATL,NO,-3.5,45.5,24.5,2500,10,0.0,0.3,,0.2,0.09,,Teagan Quitoriano
Kalel,Mullings,RB,,18,2026-01-04,Sat-Sun,TEN,JAX,12.5,47.5,17.5,4000,2,0.2,0.2,0.2,0.2,0.05,,Kalel Mullings
Nick,Vannett,TE,,18,2026-01-04,Sat-Sun,LAR,ARI,-7.5,45.5,26.5,2500,24,3.1,3.0,,0.2,0.09,,Nick Vannett
Pharaoh,Brown,TE,,18,2026-01-04,Sat-Sun,ARI,LAR,7.5,45.5,19.0,2500,19,1.0,1.1,2.1,0.2,0.06,,Pharaoh Brown
Isaac,Guerendo,RB,,18,2026-01-03,Sat-Sun,SF,SEA,1.5,47.5,23.0,4000,3,12.3,8.2,,0.2,0.04,,Isaac Guerendo
Robbie,Ouzts,RB,,18,2026-01-03,Sat-Sun,SEA,SF,-1.5,47.5,24.5,4000,17,,,,0.2,0.05,,Robbie Ouzts
DJ,Giddens,RB,,18,2026-01-04,Sat-Sun,IND,HOU,10.5,39.5,14.5,4000,10,1.7,1.7,1.7,0.1,0.03,,DJ Giddens
Irvin,Charles,WR,O,18,2026-01-04,Sat-Sun,NYJ,BUF,7.5,37.5,15.0,3000,8,0.0,0.0,,0.0,0.0,,Irvin Charles
Deshaun,Watson,QB,O,18,2026-01-04,Sat-Sun,CLE,CIN,7.5,44.5,18.5,4000,27,10.5,11.6,,0.0,0.0,,Deshaun Watson
Erick,All Jr.,TE,O,18,2026-01-04,Sat-Sun,CIN,CLE,-7.5,44.5,26.0,2500,13,3.1,4.0,,0.0,0.0,,Erick All Jr.
Joe,Mixon,RB,O,18,2026-01-04,Sat-Sun,HOU,IND,-10.5,39.5,25.0,4800,13,11.3,15.7,,0.0,0.0,,Joe Mixon
Tank,Dell,WR,O,18,2026-01-04,Sat-Sun,HOU,IND,-10.5,39.5,25.0,3000,30,10.2,11.3,,0.0,0.0,,Tank Dell
Van,Jefferson,WR,O,18,2026-01-04,Sat-Sun,TEN,JAX,12.5,47.5,17.5,3400,21,4.1,5.6,4.8,0.0,0.0,,Van Jefferson
Gavin,Bartholomew,TE,O,18,2026-01-04,Sat-Sun,MIN,GB,-7.5,35.5,21.5,2500,11,,,,0.0,0.0,,Gavin Bartholomew
A.J.,Henning,WR,O,18,2026-01-04,Sat-Sun,MIA,NE,10.5,45.5,17.5,3000,16,,,,0.0,0.0,,A.J. Henning
Jayden,Daniels,QB,O,18,2026-01-04,Sat-Sun,WAS,PHI,4.5,38.5,17.0,4000,7,15.9,19.1,17.0,0.0,0.0,,Jayden Daniels
DK,Metcalf,WR,O,18,2026-01-04,Sat-Sun,PIT,BAL,3.5,41.5,19.0,5400,27,13.6,11.2,12.9,0.0,0.0,,DK Metcalf
Darnell,Washington,TE,O,18,2026-01-04,Sat-Sun,PIT,BAL,3.5,41.5,19.0,2800,8,4.8,6.4,5.9,0.0,0.0,,Darnell Washington
Brandon,Aiyuk,WR,O,18,2026-01-03,Sat-Sun,SF,SEA,1.5,47.5,23.0,3000,11,10.5,9.5,,0.0,0.0,,Brandon Aiyuk
Kurtis,Rourke,QB,O,18,2026-01-03,Sat-Sun,SF,SEA,1.5,47.5,23.0,4000,10,,,,0.0,0.0,,Kurtis Rourke
