PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Geoff Swaim,TE,CLE,LAC,103,42.50,1.50,20.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Stidham,QB,DEN,BAL,350,45.50,9.00,18.25,4300,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Foreman,WR,LV,CIN,271,46.50,7.50,19.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis,TE,CHI,ARI,100,44.50,1.00,21.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Green,WR,DET,GB,-175,48.00,-3.50,25.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Zach Wilson,QB,DEN,BAL,350,45.50,9.00,18.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Rondale Moore,WR,ATL,DAL,-145,52.00,-2.50,27.25,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Drew Lock,QB,NYG,WAS,156,44.00,3.50,20.25,4700,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Nsimba Webster,WR,CHI,ARI,100,44.50,1.00,21.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Josh Johnson,QB,BAL,DEN,-451,45.50,-9.00,27.25,5000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Eric Tomlinson,TE,LAC,CLE,-124,42.50,-1.50,22.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Dorian Thompson-Robinson,QB,CLE,LAC,103,42.50,1.50,20.50,4400,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Israel Abanikanda,RB,NYJ,HOU,-125,42.00,-1.50,21.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Ricard,RB,BAL,DEN,-451,45.50,-9.00,27.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jamison Crowder,WR,WAS,NYG,-189,44.00,-3.50,23.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Alec Ingold,RB,MIA,BUF,221,49.50,6.00,21.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Huntley,QB,MIA,BUF,221,49.50,6.00,21.75,5200,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Devin Duvernay,WR,JAX,PHI,277,45.50,7.50,19.00,3200,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Zappe,QB,CLE,LAC,103,42.50,1.50,20.50,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Gus Edwards,RB,LAC,CLE,-124,42.50,-1.50,22.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Hollywood Brown,WR,KC,TB,-448,45.50,-8.50,27.00,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
DJ Chark,WR,LAC,CLE,-124,42.50,-1.50,22.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
